번호,제조사,모델명,연식,주행거리,가격
286,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/11식(22년형),"42,890km","4,780만원"
287,르노코리아(삼성),SM6 2.0 GDe LE,18/12식(19년형),"76,939km","1,050만원"
288,제네시스,GV80 3.0 디젤 AWD,22/07식,"125,712km","5,550만원"
289,현대,올 뉴 투싼 디젤 2.0 4WD 모던,20/03식,"33,328km","1,800만원"
290,제네시스,G90 (RS4) 가솔린 3.5 터보 AWD,23/01식,"84,260km","6,990만원"
291,현대,팰리세이드 디젤 2.2 2WD 프레스티지,22/04식,"55,103km","3,890만원"
292,기아,K8 3.5 가솔린 2WD 노블레스,22/06식(23년형),"60,991km","2,690만원"
293,현대,스타리아 4WD 라운지 9인승 인스퍼레이션,21/07식(22년형),"77,791km","5,550만원"
294,현대,쏘나타 (DN8) 2.0 프리미엄 플러스,22/07식,"15,268km","2,700만원"
295,기아,니로 노블레스,18/05식,"92,600km","1,490만원"
296,볼보,S90 B6 AWD 인스크립션,22/04식,"37,230km","5,050만원"
297,BMW,5시리즈 (G60) 530i xDrive M 스포츠 프로 스페셜 에디션,25/01식,"7,673km","9,300만원"
298,기아,더 뉴 쏘렌토 디젤 2.0 2WD 노블레스,18/08식(19년형),"45,602km","2,190만원"
299,기아,카니발 4세대 9인승 시그니처,23/03식,"47,102km","9,999만원"
300,제네시스,G80 (RG3) 가솔린 3.5 터보 AWD,21/04식,"52,937km","4,210만원"
301,르노코리아(삼성),SM6 1.5 dCi LE,16/11식,"102,788km","1,050만원"
302,기아,니로 프레스티지,17/06식(18년형),"63,246km","1,490만원"
303,포르쉐,파나메라 (971) 4.0 터보 S,23/02식,"17,908km","25,700만원"
304,기아,올 뉴 K3 프레스티지,20/07식(21년형),"73,056km","1,390만원"
305,기아,K5 3세대 2.0 노블레스,21/05식,"57,612km","2,380만원"
306,기아,K5 3세대 1.6 터보 시그니처,21/01식,"38,119km","2,440만원"
307,쉐보레(GM대우),볼트 EUV 프리미어,22/09식,"37,460km","2,690만원"
308,현대,캐스퍼 일렉트릭 인스퍼레이션,24/09식(25년형),"6,038km","3,070만원"
309,르노코리아(삼성),SM6 2.0 GDe LE,17/12식,"122,983km",750만원
310,BMW,5시리즈 (G30) 520d 럭셔리 플러스,19/12식(20년형),"109,675km","2,710만원"
311,닛산,엑스트레일 2.5 4WD,18/12식,"37,655km","1,950만원"
312,랜드로버,디스커버리 스포츠 2.0 TD4 HSE 럭셔리,18/08식,"98,301km","1,550만원"
313,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,20/12식(21년형),"81,511km","3,640만원"
314,BMW,5시리즈 (G30) 520d xDrive M 스포츠 플러스,18/02식,"104,057km","2,890만원"
315,기아,더 뉴 레이 프레스티지,21/06식,"29,429km","1,320만원"
316,랜드로버,레인지로버 벨라 3.0 D300 R-다이나믹 HSE,19/10식,"88,569km","4,000만원"
317,랜드로버,디스커버리 스포츠 2세대 D200 S,21/10식,"70,599km","3,190만원"
318,기아,K7 프리미어 3.0 GDI 시그니처,20/06식,"64,640km","2,350만원"
319,기아,셀토스 디젤 1.6 2WD 프레스티지,19/07식(20년형),"105,727km","1,590만원"
320,기아,더 뉴 쏘렌토 4세대 가솔린 2.5T 2WD 노블레스,23/08식(24년형),"52,349km","3,599만원"
321,기아,더 뉴 K8 하이브리드 시그니처,24/12식(25년형),"2,139km","4,670만원"
322,제네시스,GV70 2.5T 가솔린 AWD,23/02식,"36,348km","5,230만원"
323,BMW,5시리즈 (G30) 520d xDrive M 스포츠 플러스,20/06식,"111,383km","3,530만원"
324,기아,K8 하이브리드 시그니처,22/07식(23년형),"59,111km","3,190만원"
325,쉐보레(GM대우),임팔라 2.5 LTZ,17/04식,"50,927km","1,270만원"
326,벤츠,AMG GT 4도어 63 S 4MATIC+,21/11식,"41,103km","12,600만원"
327,르노코리아(삼성),SM6 2.0 LPe LE (장애인용),17/06식,"84,067km",820만원
328,기아,더 뉴 카니발 9인승 노블레스 스페셜,18/11식(19년형),"46,830km","2,170만원"
329,미니,쿠퍼 HIGH 3세대,21/06식,"103,609km","1,590만원"
330,쉐보레(GM대우),올 뉴 카마로 SS 6.2 V8,17/02식,"91,257km","2,200만원"
331,기아,더 뉴 셀토스 가솔린 1.6 터보 2WD 시그니처,24/04식,"15,269km","2,750만원"
332,현대,코나 디젤 1.6 2WD 모던 아트,18/10식,"105,809km","1,170만원"
333,벤츠,E-클래스 W213 E220d 익스클루시브,16/12식(17년형),"58,597km","2,730만원"
334,현대,더 뉴 팰리세이드 디젤 2.2 2WD 캘리그래피,23/07식(24년형),"20,226km","4,690만원"
335,제네시스,GV70 2.5T 가솔린 2WD,23/01식,"12,222km","5,070만원"
336,현대,아반떼 (CN7) 1.6 터보 N Line 인스퍼레이션,22/11식(23년형),"33,580km","2,390만원"
337,테슬라,모델 3 롱 레인지,22/03식,"27,388km","3,800만원"
338,기아,디 올 뉴 니로 트렌디,22/03식,"25,727km","2,820만원"
339,기아,K5 3세대 2.0 LPI(렌터카용) 스탠다드,20/10식,"131,086km","7,777만원"
340,기아,모하비 더 마스터 디젤 3.0 4WD 6인승 플래티넘,19/12식(20년형),"99,009km","2,850만원"
341,기아,K7 프리미어 3.0 GDI 노블레스,19/07식(20년형),"77,096km","2,300만원"
342,KG모빌리티(쌍용),G4 렉스턴 디젤 2.2 4WD 헤리티지,19/02식,"14,655km","2,550만원"
343,기아,더 뉴 레이 프레스티지,22/07식,"54,626km","1,270만원"
344,현대,팰리세이드 가솔린 3.8 2WD VIP,20/09식(21년형),"43,386km","3,170만원"
345,기아,올 뉴 모닝 (JA) 밴 고급형,18/11식,"64,332km",580만원
346,기아,K5 3세대 2.0 LPI(렌터카용) 스탠다드,21/03식,"29,457km","1,650만원"
347,BMW,5시리즈 (G60) 520i M 스포츠,24/02식,"12,984km","6,385만원"
348,기아,K7 프리미어 2.5 GDI 노블레스,19/09식(20년형),"80,364km","2,060만원"
349,르노코리아(삼성),QM6 가솔린 2WD RE 시그니처,18/10식(19년형),"39,198km","1,720만원"
350,아우디,A6 (C8) 45 TFSI 콰트로 프리미엄,19/10식,"65,311km","3,750만원"
351,벤츠,E-클래스 W213 E53 AMG 4MATIC+,20/12식(21년형),"58,603km","7,999만원"
352,기아,올 뉴 K3 럭셔리,19/10식(20년형),"91,233km","1,160만원"
353,기아,더 뉴 카니발 7인승 리무진 VIP,18/07식(19년형),"116,997km","9,999만원"
354,BMW,5시리즈 (G60) 520i M 스포츠,24/03식,"33,839km","5,990만원"
355,벤츠,B-클래스 W246 B200 d,17/11식(18년형),"97,148km","1,240만원"
356,벤츠,E-클래스 W213 E350d,17/04식,"50,192km","3,399만원"
357,기아,더 뉴 카니발 7인승 리무진 VIP,18/06식(19년형),"134,309km","1,600만원"
358,기아,카니발 4세대 9인승 하이리무진 시그니처,21/10식(22년형),"75,478km","3,920만원"
359,현대,더 뉴 그랜드 스타렉스 밴 5인승 모던,20/06식,"97,031km","1,590만원"
360,현대,더 뉴 싼타페 디젤 2.2 2WD 프리미엄 초이스,20/09식(21년형),"87,371km","2,470만원"
361,기아,카니발 4세대 9인승 노블레스,20/11식(21년형),"68,068km","9,999만원"
362,재규어,F-PACE 20d 포트폴리오,16/11식(17년형),"110,006km","1,550만원"
363,제네시스,G70 2.0T AWD 스포츠 패키지,17/09식(18년형),"72,207km","1,980만원"
364,제네시스,더 뉴 G70 가솔린 2.0T 2WD,23/02식,"11,779km","3,890만원"
365,제네시스,GV70 2.5T 가솔린 2WD,24/01식,"6,166km","5,720만원"
366,현대,더 뉴 그랜드 스타렉스 밴 5인승 모던,18/07식(19년형),"120,472km","1,549만원"
367,KG모빌리티(쌍용),더 뉴 렉스턴 스포츠 디젤 2.2 4WD 프레스티지,24/09식(25년형),"5,381km","3,300만원"
368,BMW,5시리즈 (G60) 520i M 스포츠,23/11식(24년형),"20,742km","6,090만원"
369,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,23/01식,"52,221km","4,720만원"
370,현대,쏘나타 디 엣지(DN8) 2.5 터보 N Line,23/08식(24년형),"51,660km","3,299만원"
371,벤츠,C-클래스 W206 C200 아방가르드,25/04식,"1,149km","5,350만원"
372,현대,넥쏘 프리미엄,20/11식(21년형),"76,677km","1,750만원"
373,벤츠,A-클래스 W177 A220 세단,20/03식,"83,411km","2,040만원"
374,기아,올 뉴 모닝 (JA) 트렌디,20/01식,"31,769km",990만원
375,현대,코나 디젤 1.6 2WD 모던 팝,18/10식,"44,987km","1,450만원"
376,기아,더 뉴 카니발 4세대 7인승 그래비티,24/02식,"38,019km","4,790만원"
377,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,20/10식(21년형),"44,010km","5,030만원"
378,미니,쿠퍼 컨트리맨 기본형 2세대,21/03식,"63,411km","2,180만원"
379,현대,팰리세이드 디젤 2.2 2WD 익스클루시브,19/04식,"115,046km","2,480만원"
380,푸조,3008 2세대 1.5 BlueHDi GT Line,18/12식(19년형),"68,141km","1,690만원"
381,현대,더 뉴 아이오닉 하이브리드 1.6 HEV Q,20/11식,"40,209km","2,190만원"
382,기아,니로 프레스티지,16/09식(17년형),"116,353km","1,220만원"
383,현대,더 뉴 코나 가솔린 1.6 터보 2WD 모던,21/04식,"51,219km","1,580만원"
384,제네시스,G90 (RS4) 가솔린 3.5 터보 AWD,22/06식,"34,044km","8,080만원"
385,현대,아반떼 AD 1.6 e-VGT 스마트,16/06식(17년형),"118,077km",650만원
386,기아,더 K9 3.8 GDI AWD 플래티넘Ⅰ,20/03식,"127,222km","2,249만원"
387,르노코리아(삼성),XM3 1.3 TCe RE 시그니처,20/05식,"16,628km","1,650만원"
388,현대,쏘나타 (DN8) 2.0 LPG(렌터카용) 스타일,22/03식,"42,295km","1,690만원"
389,기아,스포티지 더 볼드 디젤 2.0 2WD 시그니처,20/06식,"89,517km","2,222만원"
390,벤츠,GLE-클래스 W167 GLE450 4MATIC,21/08식,"85,665km","6,790만원"
391,현대,쏘나타 하이브리드 (DN8) 인스퍼레이션,21/08식(22년형),"59,190km","2,420만원"
392,포드,익스플로러 2.3 리미티드 4WD 5세대,17/06식,"71,326km","2,050만원"
393,현대,쏘나타 (DN8) 2.0 모던,22/07식,"44,597km","1,650만원"
394,기아,모하비 더 마스터 디젤 3.0 4WD 7인승 마스터즈,22/10식(23년형),"38,154km","5,370만원"
395,현대,더 뉴 싼타페 HEV 1.6 2WD 캘리그래피,23/04식,"22,072km","3,600만원"
396,기아,올 뉴 K3 5도어 GT 플러스,19/05식,"73,360km","1,350만원"
397,제네시스,GV80 3.0 디젤 AWD,20/10식,"129,406km","4,385만원"
398,현대,더 뉴 그랜저 IG 2.5 르블랑,22/04식,"133,276km","7,777만원"
399,지프,레니게이드 1.3 리미티드,22/06식,"19,285km","2,650만원"
400,현대,아반떼 (CN7) 1.6 인스퍼레이션,20/12식(21년형),"58,171km","1,950만원"
401,기아,스포티지 4세대 디젤 2.0 2WD 노블레스 플러스,17/11식(18년형),"121,540km","1,290만원"
402,BMW,5시리즈 (G30) 530i xDrive M 스포츠,18/07식,"90,476km","2,590만원"
403,아우디,A6 (C8) 45 TFSI 콰트로 프리미엄,21/02식,"47,514km","5,100만원"
404,르노코리아(삼성),QM3 LE,16/03식,"168,712km",410만원
405,기아,더 K9 5.0 GDI AWD 퀀텀,19/08식(20년형),"74,688km","3,190만원"
406,BMW,5시리즈 (G30) 520d xDrive M 스포츠 플러스,18/04식,"76,715km","2,890만원"
407,링컨,에비에이터 2세대 3.0 블랙라벨 AWD,20/06식,"48,924km","4,830만원"
408,기아,스팅어 2.0 터보 2WD 플래티넘,19/07식(20년형),"49,406km","2,600만원"
409,KG모빌리티(쌍용),렉스턴 스포츠 디젤 2.2 4WD 프레스티지,19/01식,"106,073km","1,530만원"
410,현대,코나 디젤 1.6 2WD 모던 아트,18/10식,"105,809km","1,170만원"
411,벤츠,E-클래스 W213 E220d 익스클루시브,16/12식(17년형),"58,597km","2,730만원"
412,기아,올 뉴 K3 프레스티지,20/07식(21년형),"73,056km","1,390만원"
413,현대,아반떼 (CN7) 1.6 터보 N Line 인스퍼레이션,22/11식(23년형),"33,580km","2,390만원"
414,테슬라,모델 3 롱 레인지,22/03식,"27,388km","3,800만원"
415,기아,디 올 뉴 니로 트렌디,22/03식,"25,727km","2,820만원"
416,기아,K5 3세대 2.0 LPI(렌터카용) 스탠다드,20/10식,"131,086km","7,777만원"
417,쉐보레(GM대우),볼트 EUV 프리미어,22/09식,"37,460km","2,690만원"
418,현대,캐스퍼 일렉트릭 인스퍼레이션,24/09식(25년형),"6,038km","3,070만원"
419,기아,모하비 더 마스터 디젤 3.0 4WD 6인승 플래티넘,19/12식(20년형),"99,009km","2,850만원"
420,르노코리아(삼성),SM6 2.0 GDe LE,17/12식,"122,983km",750만원
421,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,20/05식(21년형),"131,872km","3,150만원"
422,랜드로버,디스커버리 스포츠 2.0 TD4 HSE 럭셔리,18/08식,"98,301km","1,550만원"
423,르노코리아(삼성),SM6 2.0 GDe LE,18/12식(19년형),"76,939km","1,050만원"
424,제네시스,GV80 3.0 디젤 AWD,22/07식,"125,712km","5,550만원"
425,현대,쏘나타 (DN8) 2.0 프리미엄 플러스,22/07식,"15,268km","2,700만원"
426,현대,올 뉴 투싼 디젤 2.0 4WD 모던,20/03식,"33,328km","1,800만원"
427,제네시스,G90 (RS4) 가솔린 3.5 터보 AWD,23/01식,"84,260km","6,990만원"
428,현대,팰리세이드 디젤 2.2 2WD 프레스티지,22/04식,"55,103km","3,890만원"
429,기아,K8 3.5 가솔린 2WD 노블레스,22/06식(23년형),"60,991km","2,690만원"
430,현대,스타리아 4WD 라운지 9인승 인스퍼레이션,21/07식(22년형),"77,791km","5,550만원"
431,기아,더 뉴 레이 프레스티지,21/06식,"29,429km","1,320만원"
432,기아,K7 프리미어 3.0 GDI 시그니처,20/06식,"64,640km","2,350만원"
433,포드,익스플로러 6세대 3.0 플래티넘 4WD,21/12식,"87,218km","3,750만원"
434,기아,더 뉴 K9 2세대 3.8 GDI AWD 플래티넘,23/07식,"31,867km","3,950만원"
435,벤츠,GLE-클래스 W167 GLE300d 4MATIC,20/08식,"17,583km","6,390만원"
436,현대,아이오닉5 롱레인지 익스클루시브,21/06식(22년형),"109,529km","2,650만원"
437,르노코리아(삼성),SM6 2.0 LPe LE (장애인용),17/06식,"84,067km",820만원
438,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/11식(22년형),"42,890km","4,780만원"
439,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,20/12식(21년형),"81,511km","3,640만원"
440,현대,쏘나타 (DN8) 2.0 프리미엄 플러스,22/11식(23년형),"29,793km","2,480만원"
441,포드,익스플로러 2.3 리미티드 4WD 5세대,19/07식,"44,952km","2,499만원"
442,현대,더 뉴 팰리세이드 디젤 2.2 2WD 프레스티지,23/04식,"29,210km","3,999만원"
443,벤츠,CLS-클래스 C257 CLS300d 4MATIC,22/05식,"26,377km","5,990만원"
444,볼보,V60 크로스컨트리 2세대 B5 얼티메이트 AWD,23/03식,"9,552km","5,260만원"
445,현대,더 뉴 그랜저 IG 3.3 익스클루시브,20/02식,"100,342km","2,050만원"
446,혼다,오딧세이 3.5 5세대,18/03식,"100,267km","2,620만원"
447,기아,더 뉴 K3 2세대 1.6 트렌디,21/06식(22년형),"115,251km","1,150만원"
448,기아,더 뉴 K5 2세대 2.0 프레스티지,19/01식,"112,471km","1,300만원"
449,현대,쏘나타 뉴 라이즈 LPI 스타일,17/09식(18년형),"120,106km","1,000만원"
450,기아,디 올 뉴 니로 EV 에어,23/04식(24년형),"34,310km","2,690만원"
451,현대,아이오닉5 롱레인지 AWD 익스클루시브,21/11식(22년형),"119,129km","2,750만원"
452,기아,쏘울 부스터 1.6 T-GDI 노블레스,19/06식,"58,722km","1,520만원"
453,현대,더 뉴 아반떼 (CN7) 1.6 인스퍼레이션,23/05식(24년형),"5,907km","2,390만원"
454,KG모빌리티(쌍용),토레스 가솔린 1.5 2WD T5,22/11식(23년형),"51,260km","2,070만원"
455,기아,쏘렌토 4세대 디젤 2.2 2WD 프레스티지,21/03식,"132,563km","2,040만원"
456,푸조,3008 2세대 2.0 BlueHDi GT,17/10식(18년형),"128,706km","1,490만원"
457,기아,더 뉴 카니발 9인승 노블레스 스페셜,19/10식(20년형),"95,463km","7,777만원"
458,기아,모하비 더 마스터 디젤 3.0 4WD 6인승 마스터즈,20/03식,"32,032km","3,820만원"
459,제네시스,GV70 2.5T 가솔린 2WD,23/04식,"17,022km","4,900만원"
460,KG모빌리티(쌍용),티볼리 에어 디젤 IX 2WD,17/05식,"119,973km",799만원
461,기아,더 뉴 쏘렌토 4세대 HEV 1.6 2WD 노블레스,24/12식(25년형),"5,583km","4,390만원"
462,현대,더 뉴 그랜드 스타렉스 밴 3인승 스타일,21/04식,"50,307km","1,650만원"
463,현대,더 뉴 그랜드 스타렉스 밴 3인승 스타일,21/04식,"56,983km","1,650만원"
464,현대,더 뉴 싼타페 HEV 1.6 2WD 캘리그래피,23/05식,"35,753km","3,599만원"
465,현대,쏘나타 뉴 라이즈 2.0 스마트,17/07식(18년형),"83,253km","1,190만원"
466,BMW,3시리즈 (G20) 320d 투어링,23/05식,"29,678km","4,380만원"
467,BMW,5시리즈 (G30) 520i M 스포츠,20/08식,"96,986km","3,560만원"
468,BMW,5시리즈 (G30) 530e M 스포츠,22/03식,"37,891km","5,290만원"
469,현대,아반떼 (CN7) 1.6 모던,21/10식(22년형),"63,253km","1,740만원"
470,아우디,Q8 (4M) 45 TDI 콰트로 프리미엄,21/08식,"32,351km","8,720만원"
471,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,20/06식(21년형),"90,470km","4,150만원"
472,현대,쏘나타 뉴 라이즈 2.0 스마트 초이스,18/05식(19년형),"45,970km","1,450만원"
473,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,23/01식,"63,157km","4,140만원"
474,현대,그랜저 IG 3.0 익스클루시브,18/09식(19년형),"61,966km","1,850만원"
475,현대,아반떼 (CN7) 1.6 모던,22/05식(23년형),"68,467km","1,750만원"
476,벤츠,E-클래스 W213 E220d 아방가르드,18/08식,"39,435km","2,640만원"
477,KG모빌리티(쌍용),렉스턴 스포츠 디젤 2.2 4WD 다이내믹 에디션,20/08식(21년형),"95,973km","1,720만원"
478,현대,베뉴 1.6 플럭스,20/12식(21년형),"51,351km","1,650만원"
479,현대,쏘나타 (DN8) 2.0 인스퍼레이션,21/12식(22년형),"89,917km","2,270만원"
480,기아,EV6 롱레인지 4WD GT Line,22/03식,"101,374km","3,390만원"
481,기아,스포티지 더 볼드 디젤 1.6 2WD 트렌디,21/04식(22년형),"63,573km","1,600만원"
482,현대,올 뉴 투싼 디젤 1.6 2WD 스마트,20/01식,"122,884km","1,350만원"
483,현대,더 뉴 그랜저 IG 하이브리드 익스클루시브,20/07식,"133,748km","1,980만원"
484,현대,스타리아 투어러 11인승 모던,23/03식,"37,905km","2,930만원"
485,링컨,뉴 MKZ 하이브리드 2세대,17/09식,"65,388km","2,000만원"
486,마세라티,기블리 3.0 3세대,17/05식,"89,697km","2,250만원"
487,랜드로버,레인지로버 벨라 3.0 D300 R-다이나믹 HSE,18/06식,"67,818km","4,150만원"
488,르노코리아(삼성),SM6 2.0 LPe SE (장애인용),17/12식,"71,830km",870만원
489,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,20/09식(21년형),"108,663km","3,230만원"
490,쉐보레(GM대우),올란도 LPG LT 세이프티팩,17/07식(18년형),"102,763km",820만원
491,렉서스,NX350h 2세대 프리미엄,24/09식(25년형),"13,862km","6,150만원"
492,벤츠,E-클래스 W213 E220d 아방가르드,19/05식,"83,689km","2,500만원"
493,벤츠,GLA-클래스 X156 GLA220 프리미엄,18/09식(19년형),"57,735km","2,150만원"
494,쉐보레(GM대우),더 뉴 트랙스 1.6 디젤 레드라인 LT 코어,19/08식,"43,274km","1,150만원"
495,제네시스,G90 (RS4) 가솔린 3.5 터보 AWD,22/04식,"50,990km","6,620만원"
496,기아,K5 3세대 2.0 프레스티지,22/02식,"59,390km","1,910만원"
497,쉐보레(GM대우),더 뉴 트랙스 1.6 디젤 퍼펙트 블랙,19/05식,"50,005km","1,200만원"
498,기아,셀토스 디젤 1.6 4WD 노블레스,19/10식(20년형),"96,163km","1,590만원"
499,기아,K7 프리미어 3.0 GDI 노블레스,19/11식(20년형),"61,025km","1,960만원"
500,제네시스,G80 (RG3) 가솔린 3.5 터보 AWD,24/02식(25년형),"4,688km","6,990만원"
501,쉐보레(GM대우),더 뉴 트레일블레이저 1.3 터보 2WD RS,23/07식(24년형),"23,465km","2,390만원"
502,기아,더 뉴 카니발 9인승 럭셔리,20/02식,"84,566km","1,700만원"
503,현대,싼타페 TM 디젤 2.0 2WD 프리미엄,19/04식,"109,766km","1,750만원"
504,벤츠,E-클래스 W213 E450 4MATIC 익스클루시브,22/03식,"45,995km","5,990만원"
505,기아,올 뉴 K7 2.4 GDI 프레스티지,18/02식,"92,650km","1,270만원"
506,현대,쏘나타 하이브리드 (DN8) 프리미엄 플러스,21/09식(22년형),"82,918km","1,990만원"
507,현대,더 뉴 그랜저 IG 하이브리드 익스클루시브,21/12식(22년형),"139,783km","2,110만원"
508,현대,더 뉴 그랜저 IG 2.5 프리미엄 초이스,20/07식,"82,521km","7,777만원"
509,기아,더 뉴 기아 레이 밴 2인승 프레스티지 스페셜,22/10식(23년형),"44,511km","1,290만원"
510,현대,쏘나타 뉴 라이즈 2.0 스마트 초이스,18/05식(19년형),"22,284km","1,540만원"
511,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,22/04식,"96,573km","3,820만원"
512,기아,모닝 어반 (JA) 베스트 셀렉션,22/05식,"24,173km","1,350만원"
513,현대,그랜저 IG 2.4 모던,19/08식,"98,962km","1,650만원"
514,벤츠,GLE-클래스 W167 GLE350e 4MATIC,21/10식,"50,573km","7,690만원"
515,기아,K5 3세대 1.6 터보 시그니처,20/06식,"58,576km","2,440만원"
516,현대,더 뉴 그랜저 IG 3.3 익스클루시브,20/02식,"46,750km","2,599만원"
517,BMW,X5 (G05) xDrive 30d M 스포츠,20/09식,"95,883km","6,950만원"
518,쉐보레(GM대우),더 뉴 트랙스 1.4 LT,20/04식,"84,278km",930만원
519,제네시스,G80 2.2D AWD 프리미엄 럭셔리,19/11식(20년형),"125,152km","2,750만원"
520,KG모빌리티(쌍용),더 뉴 렉스턴 스포츠 칸 디젤 2.2 4WD 익스페디션,22/02식,"69,847km","3,090만원"
521,현대,코나 하이브리드 (SX2) 프리미엄,23/03식,"46,027km","2,680만원"
522,기아,셀토스 가솔린 1.6 터보 2WD 트렌디,22/07식(23년형),"89,563km","1,510만원"
523,아우디,S6 (C8) 3.0 TDI 콰트로,20/12식,"49,124km","6,690만원"
524,제네시스,G80 (RG3) 가솔린 2.5 터보 AWD,21/12식(22년형),"32,541km","4,390만원"
525,현대,쏘나타 (DN8) 2.0 프리미엄 패밀리,19/12식(20년형),"66,042km","1,750만원"
526,KG모빌리티(쌍용),토레스 가솔린 1.5 2WD T5,22/11식(23년형),"60,585km","2,040만원"
527,혼다,오딧세이 3.5 5세대,20/06식,"71,998km","3,340만원"
528,기아,K8 2.5 가솔린 2WD 시그니처,22/05식(23년형),"40,171km","2,920만원"
529,BMW,5시리즈 (G30) 540i xDrive M 스포츠 플러스,20/12식,"55,743km","6,300만원"
530,미니,쿠퍼 S HIGH 3세대,20/11식,"5,151km","2,400만원"
531,현대,투싼 (NX4) 디젤 2.0 2WD 모던,21/03식,"96,242km","2,080만원"
532,현대,쏘나타 뉴 라이즈 2.0 스마트 초이스,18/05식(19년형),"66,460km","1,420만원"
533,벤츠,E-클래스 W213 E220d 4MATIC AMG Line,22/07식,"55,015km","5,780만원"
534,쉐보레(GM대우),더 뉴 트랙스 1.4 레드라인 LT 코어,18/10식(19년형),"87,541km",900만원
535,미니,쿠퍼 5도어 HIGH 3세대,20/08식,"33,717km","2,050만원"
536,현대,쏘나타 뉴 라이즈 2.0 스마트,18/02식,"22,362km","1,590만원"
537,기아,모닝 어반 (JA) 밴,22/05식,"8,661km",900만원
538,BMW,X3 (G01) xDrive 20d M 스포츠,21/02식,"70,560km","9,999만원"
539,기아,쏘렌토 4세대 HEV 1.6 4WD 노블레스,23/03식,"24,146km","3,950만원"
540,BMW,5시리즈 (G30) 530i M 스포츠,20/10식(21년형),"53,141km","4,680만원"
541,현대,더 뉴 팰리세이드 디젤 2.2 4WD 캘리그래피,22/12식(23년형),"42,776km","5,980만원"
542,현대,그랜저 IG 2.4 프리미엄 스페셜,17/01식,"138,189km","1,320만원"
543,현대,그랜저 (GN7) 2.5 가솔린 2WD 익스클루시브,23/04식,"46,360km","3,260만원"
544,랜드로버,디스커버리 스포츠 2.0 TD4 SE (150마력),18/12식(19년형),"61,875km","1,790만원"
545,르노코리아(삼성),아르카나 1.6 E-TECH 아이코닉 디자인 패키지,24/05식(25년형),"7,159km","2,680만원"
546,벤츠,CLS-클래스 C257 CLS300d AMG Line,19/12식,"73,445km","4,180만원"
547,현대,싼타페 (MX5) HEV 1.6 2WD 캘리그래피,24/01식,"18,611km","4,250만원"
548,현대,싼타페 TM 디젤 2.0 2WD 프레스티지,20/02식,"37,173km","2,340만원"
549,기아,K7 프리미어 하이브리드 노블레스,21/04식,"111,846km","8,888만원"
550,BMW,3시리즈 GT (F34) GT 320d,18/02식,"68,131km","1,950만원"
551,포드,레인저 3세대 2.0 랩터,21/09식(22년형),"67,850km","4,230만원"
552,현대,그랜저 하이브리드 (GN7) 캘리그래피,23/02식,"13,413km","4,200만원"
553,마세라티,기블리 2.0 프라그먼트 에디션 3세대,22/06식,"17,345km","6,190만원"
554,제네시스,G90 3.3 T AWD 프리미엄 럭셔리,20/06식,"97,100km","4,090만원"
555,현대,올 뉴 투싼 디젤 2.0 2WD 모던,20/06식,"92,501km","1,500만원"
556,현대,올 뉴 투싼 디젤 1.7 2WD 모던 피버,16/11식(17년형),"54,332km","1,350만원"
557,BMW,3시리즈 (G20) 330e M 스포츠,23/04식,"18,380km","4,950만원"
558,제네시스,G70 2.0T 스포츠 패키지,17/12식(18년형),"78,221km","2,100만원"
559,아우디,Q4 e-트론 (F4) 40,23/10식,"18,432km","4,080만원"
560,현대,팰리세이드 디젤 2.2 4WD 익스클루시브,19/12식(20년형),"115,685km","2,350만원"
561,현대,그랜저 IG 2.4 프리미엄,18/08식(19년형),"61,198km","1,999만원"
562,현대,더 뉴 그랜저 IG 3.3 르블랑,22/03식,"53,969km","2,670만원"
563,BMW,M3 (G80) M3 세단 컴페티션,21/10식,"20,198km","10,200만원"
564,벤츠,E-클래스 W213 E200 아방가르드,18/05식,"47,752km","2,780만원"
565,제네시스,G80 (RG3) 가솔린 3.5 터보 AWD,21/08식(22년형),"126,011km","3,270만원"
566,현대,아이오닉6 스탠다드 익스클루시브,23/05식,"26,342km","3,100만원"
567,BMW,X6 (G06) xDrive40i M 스포츠,23/07식(24년형),"31,467km","99,999만원"
568,제네시스,G70 3.3T 스포츠 프레스티지,19/10식,"85,512km","2,450만원"
569,BMW,i5 (G60) eDrive 40 M 스포츠 프로,23/12식(24년형),"39,934km","7,250만원"
570,BMW,5시리즈 (G30) 530i M 스포츠 플러스,17/05식,"84,069km","2,520만원"
571,현대,더 뉴 그랜저 IG 2.5 익스클루시브,20/02식,"77,631km","2,150만원"
572,현대,더 뉴 그랜저 IG 하이브리드 익스클루시브,22/04식,"60,129km","2,750만원"
573,벤츠,S-클래스 W222 S560L 4MATIC,18/01식,"99,964km","5,500만원"
574,현대,엑센트(신형) 1.4 VVT 모던,16/08식(17년형),"88,424km",750만원
